,SMILES,logS,Processed_SMILES
886,CCCCC(CC)C1CCON1CCOC(=O)NCCCCCCNC(=O)OCCN1OCCC1C(CC)CCCC,-5.7905608237,CCCCC(CC)C1CCON1CCOC(=O)NCCCCCCNC(=O)OCCN1OCCC1C(CC)CCCC
7614,CCCSCCC,-2.58,CCCSCCC
4927,CCOC(=O)NC,0.8255,CCOC(=O)NC
7914,CC(Cl)C(C)Cl,-2.3541,CC(Cl)C(C)Cl
4866,COC1=CC=C(C=CC([O-])=O)C=C1,-2.3984,COC1=CC=C(C=CC(=O)[O-])C=C1
1398,[NH3+]CC1(CC([O-])=O)CCCCC1,0.0190211463,[NH3+]CC1(CC(=O)[O-])CCCCC1
4714,FC1=CC=C(OC2=CC=NC3=CC(Cl)=CC(Cl)=C23)C=C1,-6.4243,FC1=CC=C(OC2=CC=NC3=CC(Cl)=CC(Cl)=C32)C=C1
7131,CC1(C)C2CCC1(C)C(=NO)C2=NO,-2.52,CC12CCC(C(=NO)C1=NO)C2(C)C
3467,[O-]C(=O)C(CSSCC(NC(=O)CC1=CC=CC=C1)C([O-])=O)NC(=O)CC1=CC=CC=C1,-1.833,O=C(CC1=CC=CC=C1)NC(CSSCC(NC(=O)CC1=CC=CC=C1)C(=O)[O-])C(=O)[O-]
5412,O=C1NC(=O)C2(CCCCCCCCCC2)C(=O)N1,-4.59,O=C1NC(=O)C2(CCCCCCCCCC2)C(=O)N1
4634,CCOC(=O)C1=NN(C(=N1)C(Cl)(Cl)Cl)C1=CC=C(Cl)C=C1Cl,-5.6516,CCOC(=O)C1=NN(C2=CC=C(Cl)C=C2Cl)C(C(Cl)(Cl)Cl)=N1
4554,CCCCCOC(=O)COC1=CC(N2C(=O)C3=C(CCCC3)C2=O)=C(F)C=C1Cl,-6.3508,CCCCCOC(=O)COC1=CC(N2C(=O)C3=C(CCCC3)C2=O)=C(F)C=C1Cl
7127,[O-]C(=O)CN1C(CC2=CC=CC=C2)C(=O)N(C1=O)C1=CC=CC=C1,-2.91,O=C([O-])CN1C(=O)N(C2=CC=CC=C2)C(=O)C1CC1=CC=CC=C1
1234,CCCCOC(=O)CO,-0.4583389122,CCCCOC(=O)CO
5012,FC(F)OC(F)(F)C(F)Cl,-1.5162,FC(F)OC(F)(F)C(F)Cl
5703,NC1=[N+]([O-])C(N)=NC(=C1)N1CCCCC1,-1.94,NC1=NC(N2CCCCC2)=CC(N)=[N+]1[O-]
604,CCCCCCCCCO,-3.0130118711,CCCCCCCCCO
4590,[O-]C(=O)COC1CCCC1,-0.8471,O=C([O-])COC1CCCC1
1536,NNC(=O)CCCCC(=O)NN,-0.2324579511,NNC(=O)CCCCC(=O)NN
2120,CC(=O)C(=N[N-]C1=CC=CC=C1OCCOC1=CC=CC=C1[N-]N=C(C(C)=O)C(=O)NC1=CC=C2NC(=O)NC2=C1)C(=O)NC1=CC=C2NC(=O)NC2=C1,-7.634485568300001,CC(=O)C(=N[N-]C1=CC=CC=C1OCCOC1=CC=CC=C1[N-]N=C(C(C)=O)C(=O)NC1=CC=C2NC(=O)NC2=C1)C(=O)NC1=CC=C2NC(=O)NC2=C1
78,CCC1=C(O)C(=O)C=CO1,-1.1759580204,CCC1=C(O)C(=O)C=CO1
5633,COC1=C2C(=O)C3=C(C=CC=C3)N(C)C2=C2C=CC(C)(C)OC2=C1,-5.21,COC1=C2C(=O)C3=C(C=CC=C3)N(C)C2=C2C=CC(C)(C)OC2=C1
4845,CC1=CC=C(O)C(C)=C1,-1.1909999999999998,CC1=CC=C(O)C(C)=C1
7148,CN1N(C(=O)C(NC(=O)NC2=CC=CC=C2)=C1C)C1=CC=CC=C1,-2.3,CC1=C(NC(=O)NC2=CC=CC=C2)C(=O)N(C2=CC=CC=C2)N1C
5861,[NH3+]CC(=O)NCC([O-])=O,0.1,[NH3+]CC(=O)NCC(=O)[O-]
2928,CC(C)(C)C1=CC=CC(O)=C1,-1.8614,CC(C)(C)C1=CC=CC(O)=C1
5058,ClC1=CC=C(Cl)C(=C1)C1=CC(Cl)=CC(Cl)=C1Cl,-7.8201,ClC1=CC=C(Cl)C(C2=CC(Cl)=CC(Cl)=C2Cl)=C1
7416,C(NC1=C2NC=NC2=NC=N1)C1=CC=CO1,-3.95,C1=COC(CNC2=C3NC=NC3=NC=N2)=C1
6877,CCN(CC)S(=O)N(CC)CC,-1.28,CCN(CC)S(=O)N(CC)CC
5106,CCCCOC(N)=O,-0.6571,CCCCOC(N)=O
195,CCOC1=CC=C(C=C1)C([O-])=O,-2.4548997462,CCOC1=CC=C(C(=O)[O-])C=C1
7174,CCOC1=CC=C(C=C1)N(CC)C(N)=O,-1.85,CCOC1=CC=C(N(CC)C(N)=O)C=C1
7134,[O-]C(=O)CSC(C([O-])=O)C1=CC=CC=C1,-1.23,O=C([O-])CSC(C(=O)[O-])C1=CC=CC=C1
3518,CCC(=O)NCCNC(=O)CC,0.3746,CCC(=O)NCCNC(=O)CC
6567,C(OCC1=CC=CC=C1)C1=CC=CC=C1,-3.695,C1=CC=C(COCC2=CC=CC=C2)C=C1
2811,CC(C)C1=CC=CC=C1C,-3.7606,CC1=CC=CC=C1C(C)C
4519,CCCCCCCCNC(=O)C1=CC=CN=C1,-3.0081,CCCCCCCCNC(=O)C1=CC=CN=C1
7288,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1,-1.3,CC1=CC=C(C2=C(CC(=O)N(C)C)N3C=C(C)C=CC3=N2)C=C1
1321,OC1=CC(=C2C=CC3=C4C(C=CC1=C24)=C(C=C3S([O-])(=O)=O)S([O-])(=O)=O)S([O-])(=O)=O,-0.242535631,O=S(=O)([O-])C1=CC(S(=O)(=O)[O-])=C2C=CC3=C(S(=O)(=O)[O-])C=C(O)C4=CC=C1C2=C43
5203,C#CC#C,-0.7241,C#CC#C
2251,NC(=[NH2+])NS(=O)(=O)C1=CC=C(N)C=C1,-1.9885,NC(=[NH2+])NS(=O)(=O)C1=CC=C(N)C=C1
3655,NC1=CC(=CC=C1I)[N+]([O-])=O,-4.4216,NC1=CC([N+](=O)[O-])=CC=C1I
1268,CC1=CC(=O)N(N1)C1=CC=CC(=C1)S([O-])(=O)=O,-1.7718215434,CC1=CC(=O)N(C2=CC=CC(S(=O)(=O)[O-])=C2)N1
4222,CC1=C2N3C=NN=C3SC2=CC=C1,-2.0729,CC1=C2C(=CC=C1)SC1=NN=CN12
686,CCCCCCCCCCCCOS(=O)(=O)C1=CC=CC=C1,-3.543437239,CCCCCCCCCCCCOS(=O)(=O)C1=CC=CC=C1
7746,C[NH+](C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,-2.95,C[NH+](C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
6799,ClC1=CC=C(Cl)C(=C1)C1=C(Cl)C=CC=C1Cl,-6.8,ClC1=CC=C(Cl)C(C2=C(Cl)C=CC=C2Cl)=C1
4432,CC(C)N1C(SCN(C1=O)C1=CC=CC=C1)=NC(C)(C)C,-5.5307,CC(C)N1C(=O)N(C2=CC=CC=C2)CSC1=NC(C)(C)C
1987,CC(C)CCCCCCCOCCC[NH2+]CCC[NH3+],-3.2048809276,CC(C)CCCCCCCOCCC[NH2+]CCC[NH3+]
2487,CC(C)CCBr,-2.886,CC(C)CCBr
4326,COP(=S)(OC)OC1=C(Cl)C=C(C)C=C1Cl,-5.4374,COP(=S)(OC)OC1=C(Cl)C=C(C)C=C1Cl
3272,CNC(=O)ON=CC(C)(C)S(C)=O,-0.8673,CNC(=O)ON=CC(C)(C)S(C)=O
7254,OC(C1CCCC[NH2+]1)(C1=CC=CC=C1)C1=CC=CC=C1,-1.9,OC(C1=CC=CC=C1)(C1=CC=CC=C1)C1CCCC[NH2+]1
1437,CCCCCC1CCC(=O)O1,-1.8552940397,CCCCCC1CCC(=O)O1
1573,OCCCCCO,0.9823448956,OCCCCCO
621,CC(C)(C)C1=CC=C(CCC=O)C=C1,-3.1588329057,CC(C)(C)C1=CC=C(CCC=O)C=C1
6007,CC(C)(C)C(=O)OC1(CCC2C3CCC4=CC(=O)CCC4C3CCC12C)C#C,-7.16,C#CC1(OC(=O)C(C)(C)C)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
5321,CSC1=NC(NC(C)C)=NC(NC(C)C)=N1,-3.8642,CSC1=NC(NC(C)C)=NC(NC(C)C)=N1
6976,CC1=C(C2=CC=CC=C2C=C1)[N+]([O-])=O,-4.27,CC1=C([N+](=O)[O-])C2=CC=CC=C2C=C1
7025,CCNC(=S)N1CCN(CC1)C(=O)OCC,-1.79,CCNC(=S)N1CCN(C(=O)OCC)CC1
1298,NC1=CC=CC=C1,-0.4250168953,NC1=CC=CC=C1
6897,CC(O[N+]([O-])=O)C(C)O[N+]([O-])=O,-1.89,CC(O[N+](=O)[O-])C(C)O[N+](=O)[O-]
4909,FC(F)F,-1.2334,FC(F)F
6358,CCCCC1=CC2=CC3=C(C=CC4=C3C=CC=C4)C=C2C=C1,-7.52,CCCCC1=CC2=CC3=C(C=CC4=C3C=CC=C4)C=C2C=C1
3833,O=C1NC2=CN=CN=C2[N-]1,-1.5141,O=C1[N-]C2=NC=NC=C2N1
135,[O-]C(=O)C1=CC=CC=C1C1=C2C=C(I)C(=O)C(I)=C2OC2=C(I)C([O-])=C(I)C=C12,-1.0993150407,O=C([O-])C1=CC=CC=C1C1=C2C=C(I)C(=O)C(I)=C2OC2=C(I)C([O-])=C(I)C=C21
2835,C[NH2+]C(CC1=CC=C(O)C=C1)C([O-])=O,-2.1325,C[NH2+]C(CC1=CC=C(O)C=C1)C(=O)[O-]
698,CC1=CC=C(Cl)C=C1NC(=O)C1=CC2=CC=CC=C2C=C1O,-5.2385590319,CC1=CC=C(Cl)C=C1NC(=O)C1=CC2=CC=CC=C2C=C1O
6797,ClC1=CC=C(C=C1)C1=CC=CC=C1,-5.2,ClC1=CC=C(C2=CC=CC=C2)C=C1
2757,CC(C)C1=CC2=C(C)C=CC2=C(C)C=C1,-5.4752,CC1=C2C=CC(C)=C2C=C(C(C)C)C=C1
6545,[O-]C(=O)CCCCC1SCC2NC(=O)NC12,-3.0460000000000003,O=C([O-])CCCCC1SCC2NC(=O)NC21
364,CC(C)(C)C1=CC=CC(=C1O)C(C)(C)C,-4.7135873776,CC(C)(C)C1=CC=CC(C(C)(C)C)=C1O
926,CCCCCCCCCCCC(=O)OCCC(C)C,-6.733128222,CCCCCCCCCCCC(=O)OCCC(C)C
4984,OCC1=CC=CC2=CC=CC=C12,-1.7444,OCC1=CC=CC2=CC=CC=C21
2064,CC1=CC(C)=C(NC2=CC=C(NC3=C(C)C=C(C)C=C3C)C3=C2C(=O)C2=CC=CC=C2C3=O)C(C)=C1,-7.8250730454,CC1=CC(C)=C(NC2=CC=C(NC3=C(C)C=C(C)C=C3C)C3=C2C(=O)C2=CC=CC=C2C3=O)C(C)=C1
1971,CC1(C)CC(O)CC(C)(C)[NH2+]1,-0.1966099864,CC1(C)CC(O)CC(C)(C)[NH2+]1
6576,FC1(F)C(F)(F)C(F)(F)C1(F)F,-3.638,FC1(F)C(F)(F)C(F)(F)C1(F)F
2671,ClCCNC(=O)N(CCCl)N=O,-1.7285,O=NN(CCCl)C(=O)NCCCl
1901,OCC([O-])=O,0.5960163257,O=C([O-])CO
6494,CC(C)CCCC(C)C1CCC2C3CCC4CC(C)(CCC=C(C5=CC(Cl)=C(O)C(=C5)C([O-])=O)C5=CC(Cl)=C(O)C(=C5)C([O-])=O)CCC4(C)C3CCC12C,-8.46,CC(C)CCCC(C)C1CCC2C3CCC4CC(C)(CCC=C(C5=CC(Cl)=C(O)C(C(=O)[O-])=C5)C5=CC(Cl)=C(O)C(C(=O)[O-])=C5)CCC4(C)C3CCC12C
2290,C1CO1,1.356,C1CO1
4917,ClCCCCl,-1.6137,ClCCCCl
789,CCCCCCCCCCCCCCCC([O-])=O,-6.806908841,CCCCCCCCCCCCCCCC(=O)[O-]
3755,ClC1=CC=C(OC2=CC=CC=C2)C=C1,-4.7925,ClC1=CC=C(OC2=CC=CC=C2)C=C1
2118,OC1=C(N=NC2=CC(=CC=C2Cl)C(F)(F)F)C2=CC=CC=C2C=C1C(=O)NC1=CC(Cl)=C(NC(=O)C2=CC3=CC=CC=C3C(N=NC3=CC(=CC=C3Cl)C(F)(F)F)=C2O)C=C1Cl,-7.6922433716,O=C(NC1=CC(Cl)=C(NC(=O)C2=CC3=CC=CC=C3C(N=NC3=CC(C(F)(F)F)=CC=C3Cl)=C2O)C=C1Cl)C1=CC2=CC=CC=C2C(N=NC2=CC(C(F)(F)F)=CC=C2Cl)=C1O
7141,CC(=O)C=C(C)NC1CCCCC1NC(C)=CC(C)=O,-2.11,CC(=O)C=C(C)NC1CCCCC1NC(C)=CC(C)=O
6453,CN1N=C(SC1=NS(=O)(=O)C1=CC=CC=C1[N+]([O-])=O)S(N)(=O)=O,-2.79,CN1N=C(S(N)(=O)=O)SC1=NS(=O)(=O)C1=CC=CC=C1[N+](=O)[O-]
4476,ClC1=CC=C(C=C1Cl)C1=C(Cl)C=C(Cl)C(Cl)=C1Cl,-7.6505,ClC1=CC=C(C2=C(Cl)C=C(Cl)C(Cl)=C2Cl)C=C1Cl
1732,CC(CC1=CC=CC=C1)(C=C)C#N,-3.0006167172,C=CC(C)(C#N)CC1=CC=CC=C1
7704,CC1=C(Cl)C(CC2=C(Cl)C=CC=C2Cl)=CC=C1Cl,-7.99,CC1=C(Cl)C(CC2=C(Cl)C=CC=C2Cl)=CC=C1Cl
5181,NC1=CC=C(N)C(=C1)S(=O)(=O)C1=CC=CC=C1C([O-])=O,-1.8395,NC1=CC=C(N)C(S(=O)(=O)C2=CC=CC=C2C(=O)[O-])=C1
6009,CCCCCCC(=O)NNC(=O)C1=CC=NC=C1,-2.1,CCCCCCC(=O)NNC(=O)C1=CC=NC=C1
1744,C1CN(CCO1)SSN1CCOCC1,-3.2596343038,C1CN(SSN2CCOCC2)CCO1
4343,ClC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1,-6.2196,ClC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1
1875,CC(O)CN(CC(C)O)C(=O)CCCCC(=O)N(CC(C)O)CC(C)O,0.2109933627,CC(O)CN(CC(C)O)C(=O)CCCCC(=O)N(CC(C)O)CC(C)O
6499,CC(C)CC(NC(=O)C(CC1=CN=CN1)NC(=O)C(CC1=CC=CC=C1)NC(=O)OC(C)(C)C)C(O)CC(=O)NC(CC(C)C)C(=O)NCC1=CC=NC=C1,-3.36,CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(CC1=CN=CN1)NC(=O)C(CC1=CC=CC=C1)NC(=O)OC(C)(C)C)C(=O)NCC1=CC=NC=C1
2638,CC[NH+](CCO)CCO,0.8755,CC[NH+](CCO)CCO
7398,COC1=C(CC(C)[NH2+]C(C)CC2=C(OC)C=CC=C2)C=CC=C1,-2.0,COC1=C(CC(C)[NH2+]C(C)CC2=C(OC)C=CC=C2)C=CC=C1
5302,CCOC(C)OCC,-0.4291,CCOC(C)OCC
2886,CCCOC,-0.3857,CCCOC
4933,CC(C)OC(=O)C1=CC=CC=C1C(=O)OC(C)C,-2.8773,CC(C)OC(=O)C1=CC=CC=C1C(=O)OC(C)C
2519,CC(C)=NNC(N)=O,-0.2674,CC(C)=NNC(N)=O
6774,CC(=O)N(C1=C(C)C(C)=NO1)S(=O)(=O)C1=CC=C(N)C=C1,-3.59,CC(=O)N(C1=C(C)C(C)=NO1)S(=O)(=O)C1=CC=C(N)C=C1
5078,COP(=O)(OC)OC,0.5526,COP(=O)(OC)OC
185,CCCCCCCCCOC(C)=O,-4.4708606495,CCCCCCCCCOC(C)=O
6923,CCN(CC)S(=O)(=O)N(CC)CC,-1.14,CCN(CC)S(=O)(=O)N(CC)CC
2475,CCCS,-1.6021,CCCS
7026,FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=CC=C(Cl)C=C1,-6.54,O=C(NC(=O)C1=C(F)C=CC=C1F)NC1=CC=C(Cl)C=C1
5057,ClC1=CC=C(C(Cl)=C1Cl)C1=CC=CC=C1Cl,-6.8299,ClC1=CC=CC=C1C1=CC=C(Cl)C(Cl)=C1Cl
7941,CC1=C(C=C(O1)C(O)C(O)C(O)CO)C([O-])=O,-1.28,CC1=C(C(=O)[O-])C=C(C(O)C(O)C(O)CO)O1
6595,CCCCCOC(=O)CCC,-2.467,CCCCCOC(=O)CCC
210,CC(=C)C(=O)OC1=CC=CC=C1,-2.4948513605,C=C(C)C(=O)OC1=CC=CC=C1
7633,CNC(=O)OC1=CC=CC=C1,-1.803,CNC(=O)OC1=CC=CC=C1
3175,COC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1OC,-5.2394,COC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1OC
7990,[O-]C(=O)C=CC1=CC=CC=C1,-2.4335,O=C([O-])C=CC1=CC=CC=C1
525,CC(C)(C1CCC(O)CC1)C1CCC(O)CC1,-3.0976097488,CC(C)(C1CCC(O)CC1)C1CCC(O)CC1
5282,CC1=CC=C(O)C(=C1)[N+]([O-])=O,-2.3837,CC1=CC=C(O)C([N+](=O)[O-])=C1
4415,BrC1=CC=C(Br)C(=C1)C1=CC(Br)=C(Br)C=C1Br,-9.7256,BrC1=CC=C(Br)C(C2=CC(Br)=C(Br)C=C2Br)=C1
3410,C#CCCCCCC#C,-2.983,C#CCCCCCC#C
3708,COC(=O)C(C)OC(C)=O,-0.2617,COC(=O)C(C)OC(C)=O
3916,CC(C)C1(Br)C(=O)NC(=O)[N-]C1=O,-2.2088,CC(C)C1(Br)C(=O)[N-]C(=O)NC1=O
5956,CCCC(=O)NNC(=O)C1=CC=NC=C1,-0.32,CCCC(=O)NNC(=O)C1=CC=NC=C1
6349,CCN1C=C(C([O-])=O)C(=O)C2=C1C(F)=C(N1CC[NH2+]C(C)C1)C(F)=C2,-2.33,CCN1C=C(C(=O)[O-])C(=O)C2=C1C(F)=C(N1CC[NH2+]C(C)C1)C(F)=C2
7841,[O-]C(=O)CF,1.0452,O=C([O-])CF
855,C[C](C)C,-4.3765465432,C[C](C)C
1488,[O-]S(=O)(=O)C1=CC=C(NC2=NC(Cl)=NC(Cl)=N2)C=C1,-1.3810309201,O=S(=O)([O-])C1=CC=C(NC2=NC(Cl)=NC(Cl)=N2)C=C1
3055,CC(C)CCCO,-1.1286,CC(C)CCCO
6161,CC(=O)OC1=CC=C(NC(=O)C2=CC=CC=C2)C=C1,-4.14,CC(=O)OC1=CC=C(NC(=O)C2=CC=CC=C2)C=C1
6182,CCOC(=O)N1C=NC2=C1C(=O)N(C)C(=O)N2C,-1.65,CCOC(=O)N1C=NC2=C1C(=O)N(C)C(=O)N2C
860,CCN(CC)C1=CC(NC(C)=O)=C(C=C1OC)N=NC1=C(Cl)C=C(C=C1[N+]([O-])=O)[N+]([O-])=O,-4.6673277833,CCN(CC)C1=CC(NC(C)=O)=C(N=NC2=C(Cl)C=C([N+](=O)[O-])C=C2[N+](=O)[O-])C=C1OC
4410,CC1(C)CNC(NN=C(C=CC2=CC=C(C=C2)C(F)(F)F)C=CC2=CC=C(C=C2)C(F)(F)F)=NC1,-7.916,CC1(C)CN=C(NN=C(C=CC2=CC=C(C(F)(F)F)C=C2)C=CC2=CC=C(C(F)(F)F)C=C2)NC1
4771,COC1=CC=CC(C(=O)NN(C(=O)C2=CC(C)=CC(C)=C2)C(C)(C)C)=C1C,-5.5664,COC1=CC=CC(C(=O)NN(C(=O)C2=CC(C)=CC(C)=C2)C(C)(C)C)=C1C
4369,CC(C)(SC(=O)N1CCCCC1)C1=CC=CC=C1,-4.1196,CC(C)(SC(=O)N1CCCCC1)C1=CC=CC=C1
7170,CC(C)OC1=C(N)C=C(C=C1)[N+]([O-])=O,-2.66,CC(C)OC1=C(N)C=C([N+](=O)[O-])C=C1
778,C(OC1=CC2=CC=CC=C2C=C1)C1=CC=CC=C1,-6.4776739787,C1=CC=C(COC2=CC3=CC=CC=C3C=C2)C=C1
6944,OCCCCOC(=O)NCCCCCCNC(=O)OCCCCO,-1.93,O=C(NCCCCCCNC(=O)OCCCCO)OCCCCO
1037,[O-]C(=O)C1CCC[NH2+]1,1.1291356492,O=C([O-])C1CCC[NH2+]1
3539,CCOC(C)C(=O)C=O,-0.1554,CCOC(C)C(=O)C=O
1379,CC(=O)NNC(C)=O,0.3286681761,CC(=O)NNC(C)=O
3910,COC1=CC(Cl)=CC=C1O,-1.5013,COC1=CC(Cl)=CC=C1O
2199,CC(=C)C(=O)OCCCOC1=CC=C(C=C1)C(C)(C)C1=CC=C(OCCCOC(=O)C(C)=C)C=C1,-7.4564753884,C=C(C)C(=O)OCCCOC1=CC=C(C(C)(C)C2=CC=C(OCCCOC(=O)C(=C)C)C=C2)C=C1
5249,CN1CC(=O)NC1=N,-0.1499,CN1CC(=O)NC1=N
5444,CS(=O)(=O)OCCCCOS(C)(=O)=O,-2.27,CS(=O)(=O)OCCCCOS(C)(=O)=O
5322,CCNC1=NC(Cl)=NC(NC(C)(C)C#N)=N1,-3.151,CCNC1=NC(Cl)=NC(NC(C)(C)C#N)=N1
3074,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-8.4746,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
6281,CCC(=O)OCSC1=C2N=CN(COC(=O)CC)C2=NC=N1,-2.78,CCC(=O)OCSC1=C2N=CN(COC(=O)CC)C2=NC=N1
5401,CC[C-]1C(=O)NC(=O)NC1=O,-0.92,CC[C-]1C(=O)NC(=O)NC1=O
3493,C[NH2+]C(CC(C)C)C([O-])=O,-0.5146,C[NH2+]C(CC(C)C)C(=O)[O-]
7444,COC1=CC2=CC=C(C=C2C=C1)C(C)C(=O)OCCO,-3.33,COC1=CC2=CC=C(C(C)C(=O)OCCO)C=C2C=C1
6151,CCC(=O)N1C=NC2=C1C(=O)N(C)C(=O)N2C,-1.1,CCC(=O)N1C=NC2=C1C(=O)N(C)C(=O)N2C
4556,CC(OC1=CC=C(OC2=NC=C(Cl)C=C2Cl)C=C1)C(=O)N1CCCO1,-4.5922,CC(OC1=CC=C(OC2=NC=C(Cl)C=C2Cl)C=C1)C(=O)N1CCCO1
1570,C[NH2+]N,1.3365535082,C[NH2+]N
4395,CCNC(=O)COC(=O)C1=CC=CC=C1,-2.2373,CCNC(=O)COC(=O)C1=CC=CC=C1
1500,CCOC(=O)CC1(C)OCCO1,-0.1448235929,CCOC(=O)CC1(C)OCCO1
7200,OC1=CC=C(C=C1)N=NC1=C(C([O-])=O)C(Cl)=CC=C1,-3.0,O=C([O-])C1=C(N=NC2=CC=C(O)C=C2)C=CC=C1Cl
3924,CC[NH2+]C(CC)C([O-])=O,-0.4189,CC[NH2+]C(CC)C(=O)[O-]
7153,CCOC(=O)C1=CC(Br)=C(O)C=C1,-3.39,CCOC(=O)C1=CC(Br)=C(O)C=C1
6335,CCCC(=O)OCN1C=C(F)C(=O)N(C(=O)C2=CC=CC=C2)C1=O,-3.73,CCCC(=O)OCN1C=C(F)C(=O)N(C(=O)C2=CC=CC=C2)C1=O
693,NC1=CC=C(OP(=S)(OC2=CC=C(N)C=C2)OC2=CC=C(N)C=C2)C=C1,-5.3094071365,NC1=CC=C(OP(=S)(OC2=CC=C(N)C=C2)OC2=CC=C(N)C=C2)C=C1
4998,CC1=CC=C(C(=C1)[N+]([O-])=O)[N+]([O-])=O,-3.2604,CC1=CC=C([N+](=O)[O-])C([N+](=O)[O-])=C1
1683,C(CNC1=CC=CC2=CC=CC=C12)C[NH+]1CCOCC1,-2.702803349,C1=CC=C2C(=C1)C=CC=C2NCCC[NH+]1CCOCC1
5754,CC(C)(C)C(=O)OCN1N=CC2=C1NC=NC2=O,-2.68,CC(C)(C)C(=O)OCN1N=CC2=C1NC=NC2=O
5243,ClC1=CC2=C(C=C1Cl)C1=C(O2)C=C(Cl)C(Cl)=C1,-8.6456,ClC1=CC2=C(C=C1Cl)C1=C(C=C(Cl)C(Cl)=C1)O2
1953,CCN(CC1=CC=CC(=C1)S([O-])(=O)=O)C1=CC=C(C=C1)N=NC1=CC=C(N=NC2=CC=CC(=C2)S([O-])(=O)=O)C2=CC=CC=C12,0.1715437669999999,CCN(CC1=CC=CC(S(=O)(=O)[O-])=C1)C1=CC=C(N=NC2=CC=C(N=NC3=CC=CC(S(=O)(=O)[O-])=C3)C3=CC=CC=C23)C=C1
4897,CCCCC(O)CC,-1.4631,CCCCC(O)CC
675,CCOCCOCCOC(C)=O,0.7539645195999999,CCOCCOCCOC(C)=O
1049,CC1=CC=CC(=C1C)S([O-])(=O)=O,0.7779988658,CC1=CC=CC(S(=O)(=O)[O-])=C1C
7422,COC1=CC2=C(C=CC(C)(C)O2)C2=C1C(=O)C1=C(N=CC=C1)N2C,-3.96,COC1=CC2=C(C=CC(C)(C)O2)C2=C1C(=O)C1=C(N=CC=C1)N2C
2708,CC(C)CC([NH3+])C([O-])=O,-1.0456,CC(C)CC([NH3+])C(=O)[O-]
1714,C=COC1CCCCC1,-2.5825419737,C=COC1CCCCC1
3610,CC(C)C(O)C=C,-0.515,C=CC(O)C(C)C
4631,COC(C)C(C)Cl,-1.9986,COC(C)C(C)Cl
5731,OCC(CO)(CO)NC(=O)COC(=O)C1=CC=CC=C1,-1.27,O=C(COC(=O)C1=CC=CC=C1)NC(CO)(CO)CO
6947,CC1=NC2=C(NC=NC2=O)[N-]C1=O,-2.15,CC1=NC2=C([N-]C1=O)NC=NC2=O
7671,CC(C)(C)CC1=CC=CC=C1,-4.15,CC(C)(C)CC1=CC=CC=C1
813,CC(=O)C1CCC(C)=CCCC=C(C)CC=C1C,-5.4491260218,CC(=O)C1CCC(C)=CCCC=C(C)CC=C1C
821,COS(C)(=O)=O,-0.0419214127999999,COS(C)(=O)=O
2303,FC(F)(Cl)C(Cl)(Cl)Cl,-3.3093,FC(F)(Cl)C(Cl)(Cl)Cl
1544,NCC[NH2+]CCO,0.9823282162,NCC[NH2+]CCO
1989,CCCCCCC(=O)OCC(CC)(CO)COC(=O)CCCC,-5.982567027000001,CCCCCCC(=O)OCC(CC)(CO)COC(=O)CCCC
99,CCC(C)=CCCC(C)(O)C#C,-2.3027678878,C#CC(C)(O)CCC=C(C)CC
2939,[O-]C(=O)COC1=CC=CC(Cl)=C1,-2.1954,O=C([O-])COC1=CC=CC(Cl)=C1
5935,[NH3+]CCC1=CNC2=CC=CC=C12,-3.3,[NH3+]CCC1=CNC2=CC=CC=C12
1208,NP(N)(=O)OC1=CC=CC=C1,-1.4876534031,NP(N)(=O)OC1=CC=CC=C1
3408,ClC12C3(Cl)C4(Cl)C5(Cl)C(Cl)(C1(Cl)C4(Cl)Cl)C2(Cl)C(Cl)(Cl)C35Cl,-6.8074,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
7248,CC1=CC=C(C=C1)C1(O)CC[NH+](CCCC(=O)C2=CC=CC=C2)CC1,-1.62,CC1=CC=C(C2(O)CC[NH+](CCCC(=O)C3=CC=CC=C3)CC2)C=C1
6611,CC[NH+](C)CC,0.713,CC[NH+](C)CC
90,CCS,-0.8459165595999999,CCS
3459,CCOP(=S)(OCC)SCN1N=NC2=CC=CC=C2C1=O,-4.5171,CCOP(=S)(OCC)SCN1N=NC2=CC=CC=C2C1=O
3849,CCOP(=S)(OCC)OC1=NC2=CC=CC=C2N=C1,-4.1322,CCOP(=S)(OCC)OC1=NC2=CC=CC=C2N=C1
6183,CCN1CC(C)N2C(=O)C3=C(C=CC=C3)N=C2C1C,-2.46,CCN1CC(C)N2C(=O)C3=C(C=CC=C3)N=C2C1C
